,USB Connect,,,,,,,,,,,,,,,,,,,,,,,,,USB Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,filecopy,,,,,,,,,,,,,,,,,,,,,,,,,logon,,,,,,,,,,,,,,,,,,,,,,,,,logoff,,,,,,,,,,,,,,,,,,,,,,,
,max(12am-6am),,,mode(12am-6am),,,max(6am-12pm),,,mode(6am-12pm),,,max(12pm-6pm),,,mode(12pm-6pm),,,max(6pm-12am),,,mode(6pm-12am),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wangdan,中位数,上四分位数,wangdan,中位数,上四分位数,,,,,,,,,,,,,,,,,,,,wangdan,中位数,上四分位数,wangdan,中位数,上四分位数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uerid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CEL0561,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,CEL0561,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,CEL0561,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,CEL0561,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,CEL0561,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.25,1,0,0
CRD0624,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CRD0624,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CRD0624,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CRD0624,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,CRD0624,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
JFC0557,0,0,0,0,0,0,5,5,5,1,1,1,7,7,7,3,3,3,1,1,1,1,1,1,JFC0557,0,0,0,0,0,0,5,5,5,1,1,1,7,7,7,3,3,3,2,2,2,1,1,1,JFC0557,0,0,0,0,0,0,16,16,16,1,1,1,13,13,13,4,4,4,5,5,5,1,1,1,JFC0557,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,JFC0557,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
MAR0955,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,MAR0955,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,MAR0955,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,MAR0955,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,MAR0955,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0
GRM0868,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GRM0868,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GRM0868,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GRM0868,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,GRM0868,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
JLM0364,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,JLM0364,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,JLM0364,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,JLM0364,4,0,1,1,0,0,4,0,1,1,0,0,2,1,1,1,0,0,5,0,0,1,0,0,JLM0364,4,0,1,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
FOB0756,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,FOB0756,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,FOB0756,0,0,0,0,0,0,8,8,8,1,1,1,7,7,7,1,1,1,0,0,0,0,0,0,FOB0756,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,FOB0756,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
HWY0038,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,HWY0038,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,HWY0038,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,HWY0038,4,0,1,1,0,0,4,0,1,1,0,0,2,1,1,1,0,0,5,0,0,1,0,0,HWY0038,4,0,1,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
QOS0878,0,0,0,0,0,0,3,3,1,1,1,0,4,4,4,1,1,1,0,0,0,0,0,0,QOS0878,0,0,0,0,0,0,3,3,1,1,1,0,4,4,4,1,1,1,0,0,0,0,0,0,QOS0878,0,0,0,0,0,0,4,4,0,1,1,0,6,6,6,1,1,1,0,0,0,0,0,0,QOS0878,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,QOS0878,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
MDM0625,0,0,0,0,0,0,9,9,7,3,3,2,9,9,9,4,4,4,0,0,0,0,0,0,MDM0625,0,0,0,0,0,0,9,9,7,3,3,2,9,9,9,4,4,4,0,0,0,0,0,0,MDM0625,0,0,0,0,0,0,27,27,23,8,8,7,27,27,27,11,11,11,0,0,0,0,0,0,MDM0625,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,MDM0625,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
GMF0738,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GMF0738,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GMF0738,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GMF0738,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,GMF0738,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
BER0314,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BER0314,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BER0314,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BER0314,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,BER0314,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
YCE0983,0,0,0,0,0,0,0,1.5,2.25,0,0.5,0.75,0,1.5,2.25,0,0.5,0.75,0,0,0,0,0,0,YCE0983,0,0,0,0,0,0,0,1.5,2.25,0,0.5,0.75,0,1.5,2.25,0,0.5,0.75,0,0,0,0,0,0,YCE0983,0,0,0,0,0,0,0,13.5,20.25,0,13.5,20.25,0,13.5,20.25,0,13.5,20.25,0,0,0,0,0,0,YCE0983,0,0,0,0,0,0,1,1,1.5,1,0,0,0,1,1.5,0,0.5,0.75,0,0,0,0,0,0,YCE0983,0,0,0,0,0,0,0,0.5,0.75,0,0.5,0.75,1,0.5,0.75,1,0,0,0,0,0,0,0,0
BJW0619,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BJW0619,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BJW0619,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BJW0619,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,BJW0619,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
MAS0025,5,2.5,1.25,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.25,1,0.5,0.25,MAS0025,5,2.5,1.25,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.25,1,0.5,0.25,MAS0025,20,10,5,16,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAS0025,1,0.5,0.25,1,0.5,0.25,1,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0.25,1,0.5,0.25,MAS0025,1,0.5,0.25,1,0.5,0.25,0,0,0,0,0,0,1,0,0,1,0,0,1,0.5,0.25,1,0.5,0.25
GHL0460,4,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,GHL0460,4,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,GHL0460,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GHL0460,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,GHL0460,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FMG0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,FMG0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,FMG0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,FMG0527,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,FMG0527,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
